disease_id	canonical_name	aliases	source	xref_doid	external_ids	fetch_date
MONDO:0024478	mesenchymal hamartoma	mesenchymal hamartoma	MONDO			2026-06-29
MONDO:0024479	epithelial tumor of colon	colon epithelial neoplasm	MONDO			2026-06-29
MONDO:0024480	dermatosis of eyelid	dermatosis of eyelid	MONDO			2026-06-29
MONDO:0024481	skin appendage disorder	cutaneous appendage disease|cutaneous appendage disease or disorder|disease of cutaneous appendage|disease or disorder of cutaneous appendage|disorder of cutaneous appendage|disorder of skin appendage	MONDO			2026-06-29
MONDO:0024482	eccrine sweat gland hamartoma	eccrine sweat gland hamartoma|eccrine sweat gland hamartoma (disease)|hamartoma of eccrine sweat gland|hamartoma of the eccrine sweat gland	MONDO			2026-06-29
MONDO:0024483	urothelial hyperplasia	urothelial hyperplasia|urothelium hyperplasia	MONDO			2026-06-29
MONDO:0024485	papillary urothelial hyperplasia	papillary urothelial hyperplasia	MONDO			2026-06-29
MONDO:0024487	nail infection	nail infection	MONDO			2026-06-29
MONDO:0024488	tumor grading characteristic		MONDO			2026-06-29
MONDO:0024489	general tumor grading characteristic	disease grade qualifier	MONDO			2026-06-29
MONDO:0024490	tumor grade X, general grading system	undetermined grade	MONDO			2026-06-29
MONDO:0024491	tumor grade 1, general grading system	G1|grade 1|grade I|low grade|well differentiated	MONDO			2026-06-29
MONDO:0024492	tumor grade 2, general grading system	G2|grade 2|grade II|intermediate grade|moderately differentiated	MONDO			2026-06-29
MONDO:0024493	tumor grade 3, general grading system	G3|grade 3|grade III|poorly differentiated	MONDO			2026-06-29
MONDO:0024494	tumor grade 4, general grading system	G4|grade 4|grade IV|undifferentiated	MONDO			2026-06-29
MONDO:0024495	tumor grade 1 or 2, general grading system	grade 1/2	MONDO			2026-06-29
MONDO:0024496	tumor grade 2 or 3, general grading system	grade 2/3	MONDO			2026-06-29
MONDO:0024497	tumor grade 3 or 4, general grading system	grade 3/4|high grade	MONDO			2026-06-29
MONDO:0024498	glioma susceptibility 1	GLM1|glioblastoma, somatic|glioma susceptibility 1|glioma susceptibility 1, autosomal dominant, somatic mutation|glioma, susceptibility to, somatic	MONDO			2026-06-29
MONDO:0024499	vascular bone neoplasm	bone vascular neoplasm|bone vascular tumor|bone vascular tumour|osseous vascular neoplasm|osseous vascular tumor|osseous vascular tumour|vascular bone neoplasm|vascular neoplasm of bone|vascular neoplasm of the bone|vascular tumor of bone|vascular tumor of the bone|vascular tumour of bone|vascular tumour of the bone	MONDO			2026-06-29
MONDO:0024500	duodenal neuroendocrine neoplasm	duodenum NET|duodenum neuroendocrine neoplasm|duodenum neuroendocrine tumor|duodenum neuroendocrine tumor, well differentiated, low or intermediate grade|duodenum neuroendocrine tumour|neuroendocrine neoplasm of duodenum	MONDO			2026-06-29
MONDO:0024501	appendix neuroendocrine neoplasm	appendix neuroendocrine neoplasm|neuroendocrine neoplasm of vermiform appendix|vermiform appendix NET|vermiform appendix neuroendocrine neoplasm|vermiform appendix neuroendocrine tumor|vermiform appendix neuroendocrine tumor, well differentiated, low or intermediate grade|vermiform appendix neuroendocrine tumour	MONDO			2026-06-29
MONDO:0024502	gallbladder neuroendocrine neoplasm	gall bladder NET|gall bladder neuroendocrine neoplasm|gall bladder neuroendocrine tumor|gall bladder neuroendocrine tumor, well differentiated, low or intermediate grade|gall bladder neuroendocrine tumour|gallbladder neuroendocrine neoplasm|neuroendocrine neoplasm of gall bladder	MONDO			2026-06-29
MONDO:0024503	digestive system neuroendocrine neoplasm	alimentary part of gastrointestinal system NET|alimentary part of gastrointestinal system neuroendocrine neoplasm|alimentary part of gastrointestinal system neuroendocrine tumor|alimentary part of gastrointestinal system neuroendocrine tumor, well differentiated, low or intermediate grade|alimentary part of gastrointestinal system neuroendocrine tumour|carcinoid tumor of digestive system|carcinoid tumour of digestive system|digestive system NET|digestive system neuroendocrine neoplasm|digestive system neuroendocrine tumor|digestive system neuroendocrine tumor, well differentiated, low or intermediate grade|digestive system neuroendocrine tumour|gastro-enteropancreatic neuroendocrine tumor|gastro-enteropancreatic neuroendocrine tumour|gastroenteropancreatic endocrine tumor|gastroenteropancreatic endocrine tumour|gastroenteropancreatic neuroendocrine neoplasm|gastrointestinal neuroendocrine neoplasm|gastrointestinal system neuroendocrine neoplasm|neuroendocrine neoplasm of alimentary part of gastrointestinal system|neuroendocrine neoplasm of digestive system	MONDO			2026-06-29
MONDO:0024504	enterochromaffin cell serotonin-producing pancreatic neuroendocrine tumor	EC cell, serotonin producing pancreatic NET|EC cell, serotonin producing pancreatic neuroendocrine tumor|EC cell, serotonin producing pancreatic neuroendocrine tumour|carcinoid neoplasm of pancreas|carcinoid neoplasm of the pancreas|carcinoid tumor of pancreas|carcinoid tumor of the pancreas|carcinoid tumour of pancreas|carcinoid tumour of the pancreas|enterochromaffin cell serotonin-producing pancreatic neuroendocrine tumor|pancreatic carcinoid tumor|pancreatic carcinoid tumour|pancreatic serotonin producing neoplasm|pancreatic serotonin producing tumor|pancreatic serotonin producing tumour|serotonin-producing PNET|serotonin-producing pancreatic NET|serotonin-producing pancreatic neuroendocrine tumor|serotonin-producing pancreatic neuroendocrine tumour|serotonin-producing tumor of pancreas|serotonin-producing tumor of the pancreas|serotonin-producing tumour of pancreas|serotonin-producing tumour of the pancreas	MONDO			2026-06-29
MONDO:0024506	Adams-Oliver syndrome 1	AOS1|ARHGAP31 Adams-Oliver syndrome|Adams-Oliver syndrome 1|Adams-Oliver syndrome caused by mutation in ARHGAP31	MONDO			2026-06-29
MONDO:0024507	aniridia 1	AN1|aniridia 1|cataract with late-onset corneal dystrophy	MONDO	DOID:0070532		2026-06-29
MONDO:0024508	epilepsy, hot water, 1	HWE1|epilepsy, hot water, 1	MONDO	DOID:0081106		2026-06-29
MONDO:0024512	spondyloarthropathy, susceptibility to	SPDA	MONDO			2026-06-29
MONDO:0024516	familial acne inversa	ACNINV|familial hidradenitis suppurativa|hereditary hidradenitis suppurativa	MONDO			2026-06-29
MONDO:0024517	SMARCB1-related schwannomatosis	SWNTS1|schwannomatosis 1|schwannomatosis, somatic	MONDO	DOID:0070480		2026-06-29
MONDO:0024518	reactive thrombocytosis	secondary thrombocytosis	MONDO			2026-06-29
MONDO:0024519	renal hypodysplasia/aplasia 1	RHDA1|renal hypodysplasia/aplasia 1	MONDO			2026-06-29
MONDO:0024520	renal hypodysplasia/aplasia 3	RHDA3|renal hypodysplasia/aplasia 3	MONDO			2026-06-29
MONDO:0024521	aortic aneurysm, familial abdominal, 1	AAA1|aortic aneurysm, familial abdominal 1|aortic aneurysm, familial abdominal, 1	MONDO			2026-06-29
MONDO:0024522	amyloidosis, primary localized cutaneous, 1	OSMR primary cutaneous amyloidosis|PLCA1|amyloidosis 9|amyloidosis, primary cutaneous, 1|amyloidosis, primary localised cutaneous, type 1|amyloidosis, primary localized cutaneous, 1|amyloidosis, primary localized cutaneous, type 1|primary cutaneous amyloidosis caused by mutation in OSMR	MONDO	DOID:0080930		2026-06-29
MONDO:0024523	aortic valve disease 1	AOVD1|NOTCH1 aortic valve disease|Notch1 aortic valve disease|aortic valve disease 1|aortic valve disease caused by mutation in NOTCH1|aortic valve disease caused by mutation in Notch1	MONDO	DOID:0080333		2026-06-29
MONDO:0024524	dyschromatosis universalis hereditaria 1	DUH1|dyschromatosis universalis hereditaria 1	MONDO			2026-06-29
MONDO:0024525	Fanconi renotubular syndrome 1	DeToni-Debré-Fanconi syndrome|FRTS1|Fanconi renotubular syndrome 1|primary Fanconi renal syndrome|primary Fanconi renotubular syndrome	MONDO	DOID:0080757		2026-06-29
MONDO:0024526	Zimmermann-Laband syndrome 1	KCNH1 Zimmermann-Laband syndrome|ZLS1|Zimmermann-Laband syndrome 1|Zimmermann-Laband syndrome caused by mutation in KCNH1|fibromatosis, gingival, with abnormal fingers, fingernails, Nose, and ears, and splenomegaly	MONDO			2026-06-29
MONDO:0024527	glomerulopathy with fibronectin deposits 1	GFND1|glomerulopathy with fibronectin deposits 1	MONDO			2026-06-29
MONDO:0024528	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 1	PEOA1|POLG autosomal dominant progressive external ophthalmoplegia|autosomal dominant progressive external ophthalmoplegia caused by mutation in POLG|progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 1|progressive external ophthalmoplegia, autosomal dominant 1	MONDO	DOID:0111521		2026-06-29
MONDO:0024529	MVP1	MVP1	MONDO			2026-06-29
MONDO:0024530	Bethlem myopathy 1A		MONDO	DOID:0061198		2026-06-29
MONDO:0024531	myopathy, tubular aggregate, 1	STIM1 tubular aggregate myopathy|myopathy, tubular aggregate, 1|tubular aggregate myopathy caused by mutation in STIM1	MONDO			2026-06-29
MONDO:0024532	otofaciocervical syndrome 1	EYA1 otofaciocervical syndrome|otofaciocervical syndrome 1|otofaciocervical syndrome caused by mutation in EYA1	MONDO			2026-06-29
MONDO:0024533	pulmonary hypertension, primary, 1	BMPR2 primary pulmonary hypertension|primary pulmonary hypertension caused by mutation in BMPR2|pulmonary hypertension, familial primary, 1, with or without HHT|pulmonary hypertension, primary, 1|pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated	MONDO			2026-06-29
MONDO:0024534	Dowling-Degos disease 1	Dowling-Degos disease 1|Dowling-Degos disease caused by mutation in KRT5|KRT5 Dowling-Degos disease	MONDO			2026-06-29
MONDO:0024535	Singleton-Merten syndrome 1	IFIH1 singleton-Merten dysplasia|singleton-Merten dysplasia caused by mutation in IFIH1	MONDO			2026-06-29
MONDO:0024536	glucocorticoid deficiency 1	MC2R familial glucocorticoid deficiency|familial glucocorticoid deficiency caused by mutation in MC2R|glucocorticoid deficiency 1|glucocorticoid deficiency, due to ACTH unresponsiveness	MONDO	DOID:0080621		2026-06-29
MONDO:0024537	Brown-Vialetto-van Laere syndrome 1	Brown-Vialetto-Van Laere syndrome 1|Brown-Vialetto-van Laere syndrome 1|Brown-Vialetto-van Laere syndrome caused by mutation in SLC52A3|RTD2|Riboflavin transporter deficiency 2|SLC52A3 Brown-Vialetto-van Laere syndrome|rfvt2-related riboflavin transporter deficiency	MONDO	DOID:0080785		2026-06-29
MONDO:0024538	basal ganglia calcification, idiopathic, 1	IBGC1|IBGC2|basal ganglia calcification, idiopathic, 1|basal ganglia calcification, idiopathic, 2|basal ganglia calcification, idiopathic, type 1|idiopathic basal ganglia calcification 1	MONDO			2026-06-29
MONDO:0024539	choroidal dystrophy, central areolar, 1	GUCY2D central areolar choroidal dystrophy|central areolar choroidal dystrophy caused by mutation in GUCY2D|choroidal dystrophy, central areolar 1|choroidal dystrophy, central areolar, 1	MONDO			2026-06-29
MONDO:0024540	Jervell and Lange-Nielsen syndrome 1	Jervell and Lange-Nielsen syndrome 1|Jervell and Lange-Nielsen syndrome caused by mutation in KCNQ1|KCNQ1 Jervell and Lange-Nielsen syndrome	MONDO			2026-06-29
MONDO:0024541	trichohepatoenteric syndrome 1	TRICHOHEPATOENTERIC syndrome 1|TTC37 tricho-hepato-enteric syndrome|tricho-hepato-enteric syndrome caused by mutation in TTC37|trichohepatoenteric syndrome 1	MONDO	DOID:0111415		2026-06-29
