disease_id	molecule_id	relation_type	source	evidence_class	molecule_backbone_mapped	fetch_date
MONDO:0004425	DB00389	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005364	DB00389	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005445	DB09031	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB06144	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB09206	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0013024	DB08931	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015924	DB08931	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015924	DB08932	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB06762	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005052	DB08890	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005109	DB09101	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0024313	DB06149	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005362	DB06267	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005542	DB06209	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005301	DB08880	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004981	DB06217	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018982	DB00419	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005148	DB08962	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005109	DB08930	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB06736	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005306	DB06736	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005178	DB06736	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006763	DB06736	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002307	DB00027	indication	DrugCentral	curated_indication	True	2026-06-29
