hpo_id	term	synonyms	source	hierarchy_reference	fetch_date
HP:5210369	Severe Mycoplasma infection	Disseminated Mycoplasma infection|Invasive Mycoplasma infection	HPO		2026-06-29
HP:5210370	Unusual Ureaplasma infection	Unusual Ureaplasma urealyticum infection|Unusual susceptibility to Ureaplasma	HPO		2026-06-29
HP:5210371	Pulmonary cryptococcosis	Cryptococcus lung infection|Lung cryptococcosis|Pulmonary cryptococcal infection	HPO		2026-06-29
HP:5210372	Cryptococcoma	Cryptococcal granuloma|Cryptococcal mass lesion|Cryptococcal pseudotumour	HPO		2026-06-29
HP:5210373	Unusual mucormycosis	Unusual Mucorales infection|Unusual mucor infection|Unusual susceptibility to Mucorales|Unusual zygomycosis	HPO		2026-06-29
HP:5210374	Unusual Talaromyces marneffei infection	Unusual Penicillium marneffei infection|Unusual penicilliosis|Unusual susceptibility to Talaromyces marneffei|Unusual talaromycosis	HPO		2026-06-29
HP:5210375	Unusual dermatophyte infection	Unusual Trichophyton infection|Unusual deep dermatophytosis|Unusual dermatophytosis|Unusual susceptibility to dermatophytes	HPO		2026-06-29
HP:5210376	Recurrent dermatophyte infection	Chronic dermatophyte infection|Persistent dermatophyte infection|Recurrent dermatophytosis	HPO		2026-06-29
HP:5210377	Increased CD4+ TEMRA T cell proportion		HPO		2026-06-29
HP:5210378	Unusual mold infection	Unusual Fusarium infection|Unusual Lomentospora prolificans infection|Unusual Scedosporium infection|Unusual filamentous fungal infection|Unusual invasive mould infection|Unusual mould infection|Unusual non-Aspergillus mould infection|Unusual susceptibility to moulds	HPO		2026-06-29
HP:5210379	Unusual Blastomyces dermatitidis infection	Unusual North American blastomycosis|Unusual blastomycosis|Unusual susceptibility to Blastomyces dermatitidis	HPO		2026-06-29
HP:5210380	Recurrent Blastomyces dermatitidis infection	Chronic blastomycosis|Persistent Blastomyces dermatitidis infection|Recurrent blastomycosis	HPO		2026-06-29
HP:5210381	Severe Blastomyces dermatitidis infection	Disseminated blastomycosis|Invasive blastomycosis|Severe blastomycosis	HPO		2026-06-29
HP:5210382	Unusual Coccidioides infection	Unusual Coccidioides immitis infection|Unusual Coccidioides posadasii infection|Unusual coccidioidomycosis|Unusual susceptibility to Coccidioides|Unusual valley fever	HPO		2026-06-29
HP:5210383	Recurrent Coccidioides infection	Chronic coccidioidomycosis|Persistent Coccidioides infection|Recurrent coccidioidomycosis	HPO		2026-06-29
HP:5210384	Severe Coccidioides infection	Disseminated coccidioidomycosis|Invasive coccidioidomycosis|Severe coccidioidomycosis	HPO		2026-06-29
HP:5210385	Unusual Paracoccidioides brasiliensis infection	Unusual South American blastomycosis|Unusual paracoccidioidomycosis|Unusual susceptibility to Paracoccidioides brasiliensis	HPO		2026-06-29
HP:5210386	Recurrent Paracoccidioides brasiliensis infection	Chronic paracoccidioidomycosis|Persistent Paracoccidioides brasiliensis infection|Recurrent paracoccidioidomycosis	HPO		2026-06-29
HP:5210387	Severe Paracoccidioides brasiliensis infection	Disseminated paracoccidioidomycosis|Invasive paracoccidioidomycosis|Severe paracoccidioidomycosis	HPO		2026-06-29
HP:5210389	Recurrent Histoplasma capsulatum infection	Chronic histoplasmosis|Persistent Histoplasma capsulatum infection|Recurrent histoplasmosis	HPO		2026-06-29
HP:5210391	Unusual Candida auris infection	Unusual C. auris infection|Unusual susceptibility to Candida auris	HPO		2026-06-29
HP:5210392	Chronic Candida auris infection	Chronic C. auris infection|Persistent Candida auris infection|Recurrent Candida auris infection	HPO		2026-06-29
HP:5210393	Severe Candida auris infection	Candida auris candidaemia|Disseminated Candida auris infection|Invasive Candida auris infection	HPO		2026-06-29
HP:5210394	HSV hepatitis	Fulminant HSV hepatitis|HSV hepatitis|Herpes simplex virus hepatitis|Herpetic hepatitis	HPO		2026-06-29
HP:5210395	VZV meningitis	VZV-associated meningitis|Varicella-zoster virus meningitis|Zoster meningitis	HPO		2026-06-29
HP:5210396	Giant molluscum	Atypical molluscum|Giant molluscum contagiosum|Large molluscum lesion	HPO		2026-06-29
HP:5210397	Unusual HHV7 infection	Unusual human herpesvirus 7 infection|Unusual susceptibility to HHV-7	HPO		2026-06-29
HP:5210398	BK virus cystitis	BK cystitis|BK haemorrhagic cystitis|BK polyomavirus cystitis|BK virus-associated haemorrhagic cystitis	HPO		2026-06-29
HP:5210399	Unusual poliovirus infection	Unusual chronic poliovirus excretion|Unusual iVDPV excretion|Unusual immunodeficiency-associated VDPV|Unusual susceptibility to poliovirus|Unusual vaccine-derived poliovirus (VDPV) infection	HPO		2026-06-29
HP:5210400	Chronic poliovirus excretion	Chronic vaccine-derived poliovirus excretion|Immunodeficiency-associated vaccine-derived poliovirus excretion|Long-term poliovirus excretion|Persistent poliovirus shedding|iVDPV excretion	HPO		2026-06-29
HP:5210401	Severe rotavirus infection	Severe rotavirus gastroenteritis|Unusual susceptibility to rotavirus|Unusual vaccine-derived rotavirus infection	HPO		2026-06-29
HP:5210402	Unusual respiratory syncytial virus infection	Unusual RSV bronchiolitis|Unusual RSV infection|Unusual RSV pneumonia|Unusual susceptibility to respiratory syncytial virus	HPO		2026-06-29
HP:5210403	Severe respiratory syncytial virus infection	Disseminated RSV infection|Invasive RSV infection|Severe RSV bronchiolitis|Severe RSV infection|Severe RSV pneumonia	HPO		2026-06-29
HP:5210404	Chronic respiratory syncytial virus infection	Chronic RSV infection|Persistent RSV infection|Persistent RSV shedding|Recurrent RSV infection	HPO		2026-06-29
HP:5210405	Chronic rhinovirus infection	Unusual chronic rhinovirus shedding|Unusual human rhinovirus infection|Unusual susceptibility to rhinovirus	HPO		2026-06-29
HP:5210406	Unusual human metapneumovirus infection	Unusual hMPV infection|Unusual hMPV pneumonia|Unusual metapneumovirus infection|Unusual susceptibility to human metapneumovirus	HPO		2026-06-29
HP:5210407	Toxoplasma eye infection	Ocular toxoplasmosis|Toxoplasma chorioretinitis|Toxoplasma retinitis|Toxoplasmic retinochoroiditis	HPO		2026-06-29
HP:5210408	BCG-associated disease	Adverse reaction to BCG vaccination|BCG vaccine adverse event|BCG-itis|BCG-osis|Disseminated BCG infection	HPO		2026-06-29
HP:5210409	Abnormal effector memory CD4+ T cell proportion		HPO		2026-06-29
HP:5210410	Abnormal central memory CD4+ T cell proportion		HPO		2026-06-29
HP:5210411	Decreased total T cell number	Decreased numbers of circulating T cells|Reduced number of T cells	HPO		2026-06-29
HP:5210412	Increased total T cell number	Increase in T cell number	HPO		2026-06-29
